,price,title,stars,customer_reviews,recommended_price,RAM,ROM,url
6,554.54,Samgung Galaxy S8 Plus,4.1 ,683 ,0,4,64,https://www.amazon.es/Samsung-Galaxy-Plus-Smartphone-Bluetooth/dp/B06XWXDMC2
0,409.0,Samgung Galaxy S8,4.1 ,683 ,0,4,64,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-espa%C3%B1ola/dp/B06XXFHG6J
2,414.42,Samgung Galaxy S8,4.1 ,683 ,"809,00",4,64,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XWN7VCQ
28,415.0,Samgung Galaxy S8,4.1 ,683 ,"809,00",4,64,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XWB84Q7
10,416.0,Samgung Galaxy S8,4.1 ,683 ,0,4,64,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-Francesa/dp/B06XW8Q72D
1,429.99,Samgung Galaxy S8,4.6 ,3 ,0,4,64,https://www.amazon.es/Samsung-SM-G950F-Galaxy-S8-Smartphone/dp/B076X8K1ND
14,432.0,Samgung Galaxy S8,4.1 ,683 ,0,0,0,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XHRDF78
31,435.0,Samgung Galaxy S8,4.1 ,683 ,0,0,0,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XJ65K58
15,436.96,Samgung Galaxy S8,4.1 ,683 ,"809,00",4,64,https://www.amazon.es/Samsung-Galaxy-Smartphone-Bluetooth-Octa-Core/dp/B06XXC5V5M
13,438.0,Samgung Galaxy S8,4.1 ,683 ,"809,00",4,64,https://www.amazon.es/Samsung-Galaxy-Smartphone-Bluetooth-Octa-Core/dp/B06XWYWQ2L
12,439.99,Samgung Galaxy S8,4.1 ,683 ,0,0,0,https://www.amazon.es/Samsung-Galaxy-Smartphone-Versi%C3%B3n-alemana/dp/B06XJ49G5B
7,455.0,Samgung Galaxy S8,4.1 ,683 ,"809,00",4,64,https://www.amazon.es/Samsung-Galaxy-S8-Smartphone-promociones/dp/B06XW9CFZH
